Gene	STAT	GRCP	GLCP	intact_posterior	intact_posterior_t5	FDR_SIG25	FDR_SIG05	FDR_SIG05_t5
C1215_SERPINA1_P01009_OID30750_v1_Inflammation_II	-8.57919465774333	0.532	0.532	0.999999999998981	0.999999999998981	TRUE	TRUE	TRUE
C100015586_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	8.44972017388111	0.9735	0.9735	0.999999999998465	0.999999999998465	TRUE	TRUE	TRUE
C100009272_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	8.4118069338365	0.9788	0.9788	0.999999999997945	0.999999999997945	TRUE	TRUE	TRUE
C100015620_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	8.40178572634428	0.997	0.997	0.999999999997819	0.999999999997819	TRUE	TRUE	TRUE
C999926054_KLK1_P06870_OID21499_v1_Oncology	8.46927372744001	0.5235	0.5235	0.999999999997521	0.999999999997521	TRUE	TRUE	TRUE
C1162_SLMAP_Q14BN4_OID31441_v1_Oncology_II	8.3757529585958	0.9963	0.9963	0.999999999997326	0.999999999997326	TRUE	TRUE	TRUE
C100009030_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	8.1764570366286	0.9948	0.9948	0.999999999987586	0.999999999987586	TRUE	TRUE	TRUE
C313_SLMAP_Q14BN4_OID31441_v1_Oncology_II	7.97417212369439	0.9995	0.9995	0.999999999943675	0.999999999943675	TRUE	TRUE	TRUE
C100009038_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	7.7220175050235	0.9894	0.9894	0.999999999643307	0.999999999643307	TRUE	TRUE	TRUE
C100010937_APOC1_P02654_OID30749_v1_Inflammation_II	-7.6489999066213	0.9999	0.9999	0.999999999406592	0.999999999406592	TRUE	TRUE	TRUE
C100015745_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	7.62034689375464	0.9889	0.9889	0.999999999265023	0.999999999265023	TRUE	TRUE	TRUE
C100015625_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	7.59781147512671	0.9971	0.9971	0.999999999145849	0.999999999145849	TRUE	TRUE	TRUE
C100002989_APOC1_P02654_OID30749_v1_Inflammation_II	-7.56703937928396	1	1	0.999999998943087	0.999999998943087	TRUE	TRUE	TRUE
C100001615_ADH1B_P00325_OID30612_v1_Inflammation_II	-7.61754902266869	0.6147	0.6147	0.999999998781014	0.999999998781014	TRUE	TRUE	TRUE
C1053_UPB1_Q9UBR1_OID30352_v1_Cardiometabolic_II	-7.58554428875575	0.5419	0.6737	0.999999998264343	0.999999998264343	TRUE	TRUE	TRUE
C999924309_ACP6_Q9NPH0_OID21432_v1_Oncology	7.34291892785206	0.8298	0.8298	0.999999993998806	0.999999993998806	TRUE	TRUE	TRUE
C1538_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	7.29148048093849	0.9966	0.9966	0.999999992959519	0.999999992959519	TRUE	TRUE	TRUE
C100002990_APOC1_P02654_OID30749_v1_Inflammation_II	-7.28014794665935	0.9998	0.9998	0.999999992426701	0.999999992426701	TRUE	TRUE	TRUE
C100008957_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	7.14744039973174	0.8843	0.8843	0.999999979214532	0.999999979214532	TRUE	TRUE	TRUE
C999924328_TIMP4_Q99727_OID21147_v1_Neurology	7.15862104692979	0.7935	0.9902	0.999999978427187	0.999999978427187	TRUE	TRUE	TRUE
C100000616_APOC1_P02654_OID30749_v1_Inflammation_II	-6.93947758027213	0.9998	0.9998	0.999999929335947	0.999999929335947	TRUE	TRUE	TRUE
C100001293_ACY1_Q03154_OID20137_v1_Cardiometabolic	6.92798071039219	0.9373	0.9373	0.99999991873872	0.99999991873872	TRUE	TRUE	TRUE
C100006294_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	6.87058311846526	0.7307	0.7307	0.999999849042756	0.999999849042756	TRUE	TRUE	TRUE
C100006314_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	6.8288940351609	0.5501	0.5501	0.999999737909662	0.999999737909662	TRUE	TRUE	TRUE
C100004329_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	6.70464674344834	0.9411	0.9411	0.999999671971255	0.999999671971255	TRUE	TRUE	TRUE
C100020487_ADAM8_P78325_OID21039_v1_Neurology	-6.77062507265742	0.5201	0.5201	0.999999600652442	0.999999600652442	TRUE	TRUE	TRUE
C100006290_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	6.55776601404272	0.9947	0.9947	0.999999242668444	0.999999242668444	TRUE	TRUE	TRUE
C100001882_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	6.39684509357359	0.986	0.986	0.999998014954072	0.999998014954072	TRUE	TRUE	TRUE
C100009027_PCSK9_Q8NBP7_OID20235_v1_Cardiometabolic	6.38019169281725	0.9766	0.9766	0.99999779039635	0.99999779039635	TRUE	TRUE	TRUE
C100001022_SOD3_P08294_OID30683_v1_Inflammation_II	-6.06925198967878	1	1	0.999987383839808	0.999987383839808	TRUE	TRUE	TRUE
C100008977_APOC1_P02654_OID30749_v1_Inflammation_II	-6.12125406031248	0.6743	0.6743	0.999985850621485	0.999985850621485	TRUE	TRUE	TRUE
C1342_DDC_P20711_OID20215_v1_Cardiometabolic	5.83886854741113	0.7233	0.7874	0.999938834702644	0.999938834702644	TRUE	TRUE	TRUE
C498_TNFSF10_P50591_OID20611_v1_Inflammation	-5.87575191818215	0.5647	0.5647	0.999935310493714	0.999935310493714	TRUE	TRUE	TRUE
C999911444_SERPINA1_P01009_OID30750_v1_Inflammation_II	-5.8134463846582	0.7248	0.7248	0.999930189459674	0.999930189459674	TRUE	TRUE	TRUE
C1342_COMT_P21964_OID20086_v1_Cardiometabolic	-5.59258769975934	0.8376	0.8376	0.999811795103759	0.999811795103759	TRUE	TRUE	TRUE
C100008991_APOC1_P02654_OID30749_v1_Inflammation_II	-5.50173931140439	0.9968	0.9968	0.999751986197238	0.999751986197238	TRUE	TRUE	TRUE
C999923641_TIMP4_Q99727_OID21147_v1_Neurology	5.47294855258441	0.8034	0.9068	0.999643271735672	0.999643271735672	TRUE	TRUE	TRUE
C100008976_APOC1_P02654_OID30749_v1_Inflammation_II	-5.2190984216524	0.963	0.963	0.998998430062135	0.998998430062135	TRUE	TRUE	TRUE
C100010923_APOC1_P02654_OID30749_v1_Inflammation_II	-5.16769726799314	0.9226	0.9226	0.99867141320762	0.99867141320762	TRUE	TRUE	TRUE
C999918913_EPHX2_P34913_OID20119_v1_Cardiometabolic	-4.67027969835281	1	1	0.98936074964681	0.98936074964681	TRUE	TRUE	TRUE
C100002500_SERPINA1_P01009_OID30750_v1_Inflammation_II	-4.16420414912551	0.6993	0.6993	0.901648334224152	0.901648334224152	TRUE	TRUE	TRUE
C1538_APOA1_P02647_OID30769_v1_Inflammation_II	-3.87103681492226	0.7392	0.9495	0.779504093272693	0.779504093272693	TRUE	TRUE	TRUE
C100015752_SERPINA1_P01009_OID30750_v1_Inflammation_II	-3.56114241809672	0.7917	0.7917	0.589396841957033	0.589396841957033	TRUE	TRUE	TRUE
C999926054_KLK15_Q9H2R5_OID31427_v1_Oncology_II	3.48755783064898	0.5423	0.899	0.440204457128714	0.440204457128714	TRUE	TRUE	TRUE
C999918899_EPHX2_P34913_OID20119_v1_Cardiometabolic	-3.07857606849302	0.6029	0.9561	0.225138728100292	0.225138728100292	TRUE	TRUE	TRUE
C100010923_APOE_P02649_OID30727_v1_Inflammation_II	2.4737296185345	0.9226	0.9226	0.105734946962298	0.105734946962298	TRUE	FALSE	TRUE
